P00533,1,7.5,,,,,,,,,0.6,0.9,0.7,0.7,0.3,0.3,0.2,0,0.1,0.5,0.6,0.6,0.7,0.5,0.6,0.4,0.4,0.7,0.8,0.4,0.1,-0.1,-0.5,-0.4,-0.4,-0.2,-0.3,-0.3,-0.4,-0.4,-0.6,-0.7,-0.7,-0.5,-0.3,-0.3,-0.2,-0.1,-0.1,-0.1,-0.1,0,-0.1,-0.3,0,0.1,0.1,0.2,0.4,0,0.1,0.1,0.3,0.2,0.3,0.2,0.2,-0.1,0.1,0.1,0.2,0.2,0.2,,,,
P21802,1,8.5,,,,,,,,,,0.8,0.5,0.5,0.5,0.2,0,0.2,0,0.5,0.4,0.7,1,1.2,0.7,0.9,0.9,0.4,0.6,0.6,0.4,-0.1,-0.2,-0.3,-0.5,-0.5,-0.4,-0.2,-0.2,-0.2,-0.3,-0.3,-0.5,-0.5,-0.5,-0.3,-0.2,-0.2,-0.2,-0.2,0.1,-0.1,0.1,0.6,0.7,0.4,0.6,0.6,-0.1,0.3,0.6,0.9,1,1.2,0.8,0.6,0.2,-0.2,-0.3,-0.2,-0.4,-0.4,,,,,
P05067,1,7,,,,,,,,,0,0.1,0.5,0.4,0.8,0.7,0.5,0,0.4,0.4,0.3,0.5,0.5,0.2,0,0.5,0.8,1.2,1,0.9,0.4,-0.1,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.5,-0.5,-0.4,-0.2,0.1,0.4,0.6,0.6,0.4,0.6,0.8,0.8,0.6,0.6,0,-0.4,-0.1,0,0.4,0.8,0.8,0.8,0.8,0.6,0.4,0.7,,,
P04626,1,7.5,,,,,,,,,1.1,0.9,0.6,0.1,0.3,0.2,0,0.2,0.4,0.5,0.5,0.5,0.8,0.8,0.5,0.5,0.8,0.8,0.6,0.5,0.1,-0.1,-0.6,-0.5,-0.5,-0.3,-0.4,-0.4,-0.4,-0.4,-0.6,-0.6,-0.7,-0.5,-0.5,-0.5,-0.3,-0.1,-0.2,-0.3,-0.1,-0.2,-0.4,-0.3,0,0,0.1,0.3,0.7,0.7,0.6,0.4,0.4,0.4,0.8,1.4,1.2,1.7,1.2,0.8,0.3,0.6,0,,,,
P11362,1,8.5,,,,,,,,,,0.8,0.5,0.5,0.5,0.2,0,0.4,0.2,0.7,0.8,1.1,1.2,1.3,0.8,0.8,0.8,0.4,0.7,0.7,0.6,0.1,0,-0.3,-0.3,-0.3,-0.2,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3,-0.3,-0.1,0,0.2,0,-0.2,-0.4,-0.1,-0.3,-0.1,-0.1,0,-0.2,-0.1,-0.2,-0.2,0,-0.2,0,0.4,0.8,0.6,0.8,0.9,0.4,0,0.2,0.1,-0.4,,,,,
P10721,1,8.5,,,,,,,,,,-0.1,0.3,0.6,0.5,0.3,0.8,0.4,0.1,0.1,0.6,0.3,0.2,0.1,0.6,0.3,0.1,0.2,0.7,0.4,0.3,0.3,0.1,-0.3,-0.5,-0.7,-0.7,-0.5,-0.5,-0.5,-0.3,0,-0.2,-0.3,-0.3,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.4,-0.4,-0.3,0.1,0,0.4,0.3,0.4,0.4,0.8,0.6,0.9,0.9,0.9,0.4,0.4,0.2,0.3,-0.1,0.1,,,,,
P01130,1,8,,,,,,,,,,0.7,0.4,0.3,0,0.4,0.3,0.5,0.4,0.4,0,-0.1,-0.1,0.4,0.2,0.3,0.5,0.5,0.5,0.6,0.2,0.1,-0.1,-0.5,-0.5,-0.5,-0.3,-0.3,-0.3,-0.5,-0.5,-0.6,-0.6,-0.7,-0.6,-0.6,-0.6,-0.6,-0.4,-0.5,-0.3,0,0.1,0.1,0.3,0.2,0.3,0.8,1.1,1.1,1.2,1,0.7,0.4,0.2,0.7,0.5,0.3,0.3,0.5,0.3,0.3,0.6,,,,
P01375,1,8.5,,,,,,,,,,-0.2,0.3,0.6,0.5,0.7,0.8,0.4,0,0,0.1,0.3,0.5,0.5,0.4,0.2,-0.1,-0.3,-0.5,-0.4,-0.3,-0.2,-0.4,-0.5,-0.5,-0.5,-0.3,-0.1,0.1,0.2,0,-0.1,-0.2,-0.3,-0.5,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,-0.3,-0.3,0,0.5,0.8,0.8,0.7,0.7,0.8,0.4,0.5,0.5,0.1,-0.3,-0.2,-0.4,-0.2,0,0,0,0.3,,,,,
P07949,1,8,,,,,,,,,,0.2,0,0.3,0.2,0.4,0.4,0.4,0,-0.2,0.1,0.3,0.6,0.5,0.9,0.9,0.6,0.6,1,0.5,0.2,0.1,0.1,-0.1,-0.1,-0.3,-0.2,-0.2,-0.4,-0.4,-0.4,-0.3,-0.4,-0.5,-0.4,-0.2,-0.2,0,-0.1,-0.1,-0.1,0,0,0,0.5,0.9,0.8,0.6,0.6,0.8,0.4,0.2,0.8,1.2,0.6,0.9,1.1,0.5,0.2,0.7,0.7,0.8,1.2,,,,
P06213,1,7.5,,,,,,,,,0.5,0.5,0.5,0.5,0.2,0.3,0.1,0,-0.1,-0.3,-0.4,-0.2,0.3,0.2,0.4,0.7,1,0.7,0.7,0.5,0.2,-0.1,-0.5,-0.3,-0.2,-0.2,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.1,-0.1,-0.1,0.2,0.4,0,-0.2,0.5,0.2,0.2,0.8,0.9,0.3,0.5,0.3,-0.1,-0.1,-0.1,0.2,0.3,0.4,0.5,,,,
Q9BXM7,1,10.5,,,,,,,,,,,,-0.1,0.3,0.3,0.3,0.3,0.5,0.1,0.1,0.3,0.4,0.4,0.9,0.9,0.7,0.9,1.1,1.1,0.9,0.7,0.4,-0.1,-0.4,-0.4,-0.2,-0.3,-0.1,-0.3,-0.3,-0.4,-0.2,-0.1,0.1,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0,-0.1,-0.1,-0.1,0.1,0,0.3,0.4,0.2,0.1,0.2,0.1,-0.1,-0.2,0,,,,,,,
P09619,1,8.5,,,,,,,,,,0,0.4,0.2,0,0.5,0.4,0.2,0.2,0.7,0.4,0.6,0.3,0.9,0.9,0.9,0.7,0.6,0.1,-0.4,-0.6,-0.7,-0.7,-0.8,-0.5,-0.6,-0.6,-0.4,-0.4,-0.5,-0.5,-0.5,-0.4,-0.4,-0.5,-0.3,-0.1,-0.3,-0.3,-0.2,-0.4,-0.1,-0.1,0,-0.1,0.1,0,0.1,0,0.1,-0.2,-0.5,-0.2,0,0.1,0.8,0.9,0.6,0.5,0.5,0,0,,,,,
P22607,1,8.5,,,,,,,,,,0.2,0.6,0.7,0.4,0.4,0.5,0.2,-0.1,-0.1,-0.1,0.3,0.6,0.5,0.6,0.7,0.5,0,0.3,0.4,0.2,0,0,-0.1,-0.1,-0.1,-0.2,-0.2,-0.4,-0.6,-0.7,-0.7,-0.6,-0.5,-0.5,-0.3,-0.1,0.1,-0.1,-0.2,-0.2,-0.1,-0.2,-0.1,0.1,0.1,0.1,0.4,1,1,1.3,1.1,0.6,0.5,0.7,0.7,0.9,1,0.5,0.1,-0.3,-0.5,,,,,
